,LPS,NACE (DELETE!),GNFR,E-PRTR/PRTR Facility ID,Height class (TODO),Longitude,Latitude,NOx (as NO2) [kt],NMVOC [kt],SOx (as SO2) [kt],NH3 [kt],PM2.5 [kt],PM10 [kt],CO [kt],Pb [t],Cd [t],Hg [t],PCDD/ PCDF (dioxins/ furans) [g I-Teq],PAHs [t],HCB [kg],PCBs [kg]
0,"""Randow, Welse"" GmbH & Co. Agrarproduktions KG",146: Raising of swine/pigs,,12-20732150000,,14.1482672405572,53.2045496721409,,,,0.0105,,,,,,,,,,
1,1Heiz Energie GmbH Binnenhafen Eberswalde,3511: Production of electricity,A_PublicPower,12-20603020000,,13.7784713333368,52.8512636662931,0.167,,,,,,,,,,,,,
2,3M Technical Ceramics Zweigniederlassung der 3M Deutschland GmbH,2344: Manufacture of other technical ceramic products,B_Industry,06-09-763-0005-0001,,10.3290092134199,47.7055989655455,,,,,,,,,,,,,,
3,A & L Möller GmbH,146: Raising of swine/pigs,,03-86-45404287880,,7.68995879995552,52.9070304735483,,,,0.013,,,,,,,,,,
4,A + J Agrar GmbH & Co. KG,146: Raising of swine/pigs,,10002,,11.508174618792,51.2160458873275,,,,0.0132,,,,,,,,,,
5,A. F. Broermann,146: Raising of swine/pigs,,18327,,11.8380281765176,51.9990682443204,,,,0.0218,,,,,,,,,,
6,A.V.E Eigenbetrieb Kreis Paderborn Deponie Alte Schanze,3821: Treatment and disposal of non-hazardous waste,5.d,06-05-700-0148396,,8.66556757513202,51.7041077540658,,,,,,,,,,,,,,
7,ABS Agrar-Betriebs GmbH Schlettau & Co.Betriebs.KG,146: Raising of swine/pigs,,14-63-43363100000,,12.9804469643484,50.5486460421271,,,,0.012,,,,,,,,,,
8,ADM  Mainz GmbH,1041: Manufacture of oils and fats,B_Industry,07-04-6036271,,8.31727828789385,49.9738537563048,,,0.58,,,,,,,,,,,
9,ADM Hamburg Aktiengesellschaft Werk Hamburg,1041: Manufacture of oils and fats,B_Industry,06-02-B28903H003,,9.95292127256902,53.5186944326294,0.324,,2.5949999999999998,,,,,,,,,,,
10,ADM Spyck GmbH Werk Straubing,1041: Manufacture of oils and fats,B_Industry,06-09-263-8003-0001,,12.6596582600188,48.9019010569143,,,0.25,,,,,,,,,,,
11,AFB Agrar GmbH Flämingland Blönsdorf,146: Raising of swine/pigs,,12-50720100000,,12.8657396495509,51.9702805003965,,,,0.0101,,,,,,,,,,
12,AG Deutschenbora e.G.,146: Raising of swine/pigs,,14-72-63233432533,,13.3606273430436,51.0569364370646,,,,0.0132,,,,,,,,,,
13,AG der Dillinger Hüttenwerke,2410: Manufacture of basic iron and steel and of ferro-alloys,B_Industry,06-10-0050559,,6.75413698244508,49.3571721704399,1.655,0.755,,,,0.283,463.5,,,,,,,
14,AGR mbH,3821: Treatment and disposal of non-hazardous waste,J_Waste,06-05-500-0414594,,7.16342556252108,51.5565161479206,1.07,,,,,,,,,,,,,
15,AGRÖ Horka GmbH (619),146: Raising of swine/pigs,,14-75-00147040000,,14.9083748510439,51.3198106132532,,,,0.0104,,,,,,,,,,
16,AHKW Geiselbullach,3821: Treatment and disposal of non-hazardous waste,J_Waste,06-09-100-0607-0001,,11.3595056542461,48.2353370647988,0.101,,,,,,,,,,,,,
17,AHKW Neunkirchen,3821: Treatment and disposal of non-hazardous waste,J_Waste,06-10-0078532,,7.1684029381679,49.3381416411041,,,,,,,,,,,,,,
18,AHSK Abfallentsorgungsbetrieb d.HSK Zentrale Reststoffdeponie des HSK,3822: Treatment and disposal of hazardous waste,5.d,06-05-900-0263770,,8.35115582062667,51.2742483968671,,,,,,,,,,,,,,
19,ALBA Electronics Recycling GmbH,3822: Treatment and disposal of hazardous waste,J_Waste,06-08-3476243,,8.92566411394518,49.1387067630663,,,,,,,,,,,,,,
20,AMK Abfallentsorgungsgesellschaft des Märkischen Kreises mbH,3821: Treatment and disposal of non-hazardous waste,J_Waste,06-05-900-0235202,,7.69411350475717,51.3962947099394,0.268,,,,,,,,,,,,,
21,ARKEMA GmbH,2014: Manufacture of other organic basic chemicals,B_Industry,06-09-774-0039-0001,,10.2725499252647,48.4376123187585,,,,,,,,,,,,,,
22,ASK Chemicals Metallurgy GmbH,2410: Manufacture of basic iron and steel and of ferro-alloys,B_Industry,06-09-171-0302-0G01,,12.6289433901847,48.148064219406,,0.705,,,,,,,,,,,,
23,AUDI AG,2910: Manufacture of motor vehicles,E_Solvents,06-09-161-0102-0001,,11.4197490470807,48.7842009411939,,,2.745,,,,,,,,,,,
24,AUDI AG Automobilwerk/Fahrzeugbau,2910: Manufacture of motor vehicles,B_Industry,06-08-1950894,,9.22471990745927,49.2020102585703,,,0.795,,,,,,,,,,,
25,AVA Abfallverwertung Augsburg GmbH,3821: Treatment and disposal of non-hazardous waste,J_Waste,06-09-700-0700-0001,,10.9332194758323,48.4021358968054,0.208,,,,,,,,,,,,,
26,AVA Velsen,3821: Treatment and disposal of non-hazardous waste,J_Waste,06-10-0075674,,6.83473480185643,49.2142779753116,,,,,,,,,,,,,,
27,AVEA Entsorgungsbetriebe GmbH & Co. KG,3821: Treatment and disposal of non-hazardous waste,J_Waste,06-05-300-0535035,,7.00420222599992,51.0423176878849,0.248,,,,,,,,,,,,,
28,AVG Abfall-Verwertungs-Gesellschaft mbH SAV und CPA,3822: Treatment and disposal of hazardous waste,J_Waste,06-02-B71815A005,,10.0717072012753,53.5315677782738,,,,,,,,,,,,,,
29,AVG Abfallentsorgungs- und Verwertungsgesellschaft Köln mbH,3821: Treatment and disposal of non-hazardous waste,J_Waste,06-05-300-1350016,,6.95076623048607,51.0069738741238,0.132,,,,,,,,,,,,,
30,AVG-Deponie Vereinigte Ville AVG Köln mbH,3821: Treatment and disposal of non-hazardous waste,5.d,06-05-800-6336072,,6.83684995130551,50.8358605596308,,,,,,,,,,,,,,
31,AWG Abfallwirtschaftsgesellschaft mbH Wuppertal,3821: Treatment and disposal of non-hazardous waste,J_Waste,06-05-100-0113340,,7.14281346815412,51.2253054844507,0.138,,,,,,,,,,,,,
32,AWS Abfall-Wirtschafts-Service GmbH,3821: Treatment and disposal of non-hazardous waste,5.d,06-00003620433,,8.54225529440848,49.9002357575931,,,,,,,,,,,,,,
33,"Abeler, Jürgen",147: Raising of poultry,,06-05-566-0312375,,7.45935753109179,52.0690666455081,,,,0.0258,,,,,,,,,,
34,Abfallwirtschaft GmbH Halle-Lochau,3821: Treatment and disposal of non-hazardous waste,5.d,10018,,12.0498948025758,51.4221139305218,,,,,,,,,,,,,,
35,Abfallwirtschaft Heidekreis Deponie Hillern,3821: Treatment and disposal of non-hazardous waste,5.d,03-08-08083175080,,9.86886847356095,53.0493206774461,,,,,,,,,,,,,,
36,Abfallwirtschaftsbetrieb Landkreis Uelzen,3821: Treatment and disposal of non-hazardous waste,5.d,03-08-08080282690,,10.7689194212929,53.0111735622169,,,,,,,,,,,,,,
37,Abwasserverband Fulda Verbandsklärwerk Gläserzell,3700: Sewerage,J_Waste,06-84100020631,,9.64012031258474,50.573852468213,,,,,,,,,,,,,,
38,Abwasserverband Obere Lutter,3700: Sewerage,J_Waste,06-05-700-0229838,,8.39572803770728,51.9485025156213,,,,,,,,,,,,,,
39,Agrar GmbH Holleben - Burgsdorf,146: Raising of swine/pigs,,10123,,11.6559461042305,51.5776709808563,,,,0.013,,,,,,,,,,
40,Agrar GmbH Kakerbeck,150: Mixed farming,,10324,,11.2865930881557,52.6738888274076,,,,0.0109,,,,,,,,,,
41,Agrar GmbH Wildau-Wentdorf,146: Raising of swine/pigs,,12-50720360000,,13.5558869132361,51.8938364962527,,,,0.0208,,,,,,,,,,
42,Agrar GmbH Wormsdorf,146: Raising of swine/pigs,,10449,,11.1933871715227,52.1230550775698,,,,0.0157,,,,,,,,,,
43,"Agrar Handelsgesellschaft Salzfurtkapelle mbH & Co. KG, Hähnchenmast Mockrehna",147: Raising of poultry,,14-82-56202720000,,12.7913490246005,51.5134082887366,,,,0.035,,,,,,,,,,
44,Agrar Handelsgesellschaft Salzfurtkapelle mbH & Co. KG;  Hähnchenmastanlage Liemehna,147: Raising of poultry,,14-82-03417429000,,12.541934284092,51.4476027408584,,,,0.0118,,,,,,,,,,
45,Agrar Handelsgesellschaft Salzfurtkapelle mbH & Co. KG; AZ I - Hähnchenmast,147: Raising of poultry,,14-82-56202720003,,12.51498672205,51.3925323639866,,,,0.0107,,,,,,,,,,
46,Agrar Handelsgesellschaft Salzfurtkapelle mbH & Co. KG; AZ II-Hähnchenmast,147: Raising of poultry,,14-82-56202720002,,12.5207739004848,51.3963694261545,,,,0.0107,,,,,,,,,,
47,Agrar Handelsgesellschaft Salzfurtkapelle mbH & Co.KG,147: Raising of poultry,,10643,,11.7338360898479,51.4385786249257,,,,0.031,,,,,,,,,,
48,"Agrar Handelsgesellschaft Salzfurtkapelle mbH & Co.KG, Hähnchenmast Lampertswalde",147: Raising of poultry,,14-82-00023380000,,13.0409782617435,51.3554399190841,,,,0.0106,,,,,,,,,,
49,Agrar e.G. Waltershausen,146: Raising of swine/pigs,,16-78-41300000003,,10.5962178154928,50.9218708817316,,,,0.0613,,,,,,,,,,
50,Agrarbetrieb Todendorf eG,146: Raising of swine/pigs,,13-30-223,,12.5765085006392,53.8278664082538,,,,0.0323,,,,,,,,,,
51,Agrargenosschenschaft Pretzsch e.G. Agrargenossenschaft Rackith e.G.,146: Raising of swine/pigs,,10382,,12.7554258872787,51.7272105220708,,,,0.0116,,,,,,,,,,
52,"Agrargenossenschaft ""Ländeken"" Meinsdorf eG Agrargenossenschaft ""Ländeken"" Meinsdorf eG",146: Raising of swine/pigs,,12-50720180000,,13.2655646140655,51.8515814447838,,,,0.0124,,,,,,,,,,
53,Agrargenossenschaft Abtsbessingen e.G.,146: Raising of swine/pigs,,16-82-75293870002,,10.7626597994566,51.2567774980799,,,,0.0113,,,,,,,,,,
54,Agrargenossenschaft Elbeland e.G. Scharlibbe,146: Raising of swine/pigs,,10288,,12.0632012269191,52.6977814487579,,,,0.0227,,,,,,,,,,
55,"Agrargenossenschaft Kropstädt e.G., Abtsdorf",146: Raising of swine/pigs,,10340,,12.7103002259319,51.8953810512179,,,,0.0335,,,,,,,,,,
56,Agrargenossenschaft Mühlanger e.G.,146: Raising of swine/pigs,,10366,,12.7824166689234,51.865258079098,,,,0.0109,,,,,,,,,,
57,Agrargenossenschaft e.G. Günthersdorf,146: Raising of swine/pigs,,12-30671270000,,14.3022766068734,52.0859631337648,,,,0.0114,,,,,,,,,,
58,Agrarprodukte Frankenförde GmbH & Co. KG,146: Raising of swine/pigs,,12-50722150000,,13.0497681401305,52.1132651670376,,,,0.0253,,,,,,,,,,
59,Agrarprodukte GmbH Zilly,146: Raising of swine/pigs,,10491,,10.8203650119031,51.9500691412269,,,,0.0522,,,,,,,,,,
60,Agrarprodukte Kitzen e.G.,146: Raising of swine/pigs,,14-83-53766310001,,12.2682530448206,51.2127822071687,,,,0.021,,,,,,,,,,
61,"Agrarprodukte Löbnitz GmbH, SZA Löbnitz",146: Raising of swine/pigs,,14-82-55797380000,,12.4616660922533,51.5856982895908,,,,0.0134,,,,,,,,,,
62,"Agrarproduktion ""Elsteraue"" GmbH & Co. KG",146: Raising of swine/pigs,,14-83-53769260000,,12.3392249901695,51.1916540418289,,,,0.0152,,,,,,,,,,
63,Agraset- Agrargenossenschaft eG. Naundorf,146: Raising of swine/pigs,,14-65-60309310000,,12.9062645104613,51.0170310218161,,,,0.0142,,,,,,,,,,
64,Agrofarm Herwigsdorf e. G. (009),146: Raising of swine/pigs,,14-75-45516080000,,14.7371797811072,51.0755748091302,,,,0.0182,,,,,,,,,,
65,Agrofarm Herwigsdorf e. G. (091),146: Raising of swine/pigs,,14-75-45516080006,,14.7497466999618,51.0586876544914,,,,0.0182,,,,,,,,,,
66,Agrö Frankenthal GmbH,146: Raising of swine/pigs,,14-74-47171950000,,14.1119949814599,51.1323430380803,,,,0.0151,,,,,,,,,,
67,"Ahrens, Christoph",147: Raising of poultry,,03-85-45300968310,,7.92151082911616,52.7728167014593,,,,0.0101,,,,,,,,,,
68,Airbus Operations GmbH,3030: Manufacture of air and spacecraft and related machinery,E_Solvents,06-02-B2D350A001,,9.83711552856172,53.5416201423109,,,0.43,,,,,,,,,,,
69,"Albersmeier, Klaus",146: Raising of swine/pigs,,06-05-974-9139489,,8.1421689046453,51.6195376362369,,,,0.0152,,,,,,,,,,
70,Aleris Casthouse Germany GmbH,2453: Casting of light metals,B_Industry,07-01-706993,,7.59079064218285,50.389853504196,0.12,,,,,,,,,,,,,
71,Almatis GmbH,2320: Manufacture of refractory products,B_Industry,07-05-8386956,,8.43557434886466,49.4514642151713,0.353,,,,,,,,,,,,,
72,"Altenau, Hubertus",146: Raising of swine/pigs,,06-05-570-0341739,,7.74713128586563,51.8163618230332,,,,0.0131,,,,,,,,,,
73,"Althoetmar, Klaus",146: Raising of swine/pigs,,06-05-570-0988676,,7.96251749214374,51.8724894879348,,,,0.011,,,,,,,,,,
74,Aluminium Norf GmbH,2442: Aluminium production,B_Industry,06-05-100-0173542,,6.7697156550606,51.1504897264694,0.239,,,,,,,,,,,,,
75,Aluminium Oxid Stade GmbH,2013: Manufacture of other inorganic basic chemicals,B_Industry,03-03-03267770260,,9.49793644325882,53.6442938587031,0.306,,,,,,,,,,,,,
76,Andreas Haneke,146: Raising of swine/pigs,,06-05-762-0221111,,9.29769760834869,51.8396970320276,,,,0.0106,,,,,,,,,,
77,Andreas Rohlfs,147: Raising of poultry,,06-05-770-0544763,,8.41808467468846,52.3984252019865,,,,0.0272,,,,,,,,,,
78,Ansgar gr. Austing,146: Raising of swine/pigs,,03-65-25102282440,,8.38561765315627,52.5305903309485,,,,0.0135,,,,,,,,,,
79,ArcelorMittal Bremen GmbH,2410: Manufacture of basic iron and steel and of ferro-alloys,B_Industry,06-04-11/2005382/5/0,,8.6867284642385,53.1249394295311,7.1499999999999995,14.55,,,,1.77,291.0,,,,3.4499999999999997,,,
80,ArcelorMittal Bremen GmbH / BREMA Walzwerk GmbH,2410: Manufacture of basic iron and steel and of ferro-alloys,B_Industry,06-04-11/2005384/0/0,,8.6867284642385,53.1249394295311,0.587,,,,,,,,,,,,,
81,ArcelorMittal Bremen GmbH / Kraftwerk Mittelsbüren,3511: Production of electricity,A_PublicPower,06-04-11/2001178/8/2,,8.68614797551713,53.1287223856765,,0.404,,,,,,,,,,,,
82,ArcelorMittal Bremen GmbH Kokerei Prosper,1910: Manufacture of coke oven products,B_Industry,06-05-500-1185268,,6.97327222572499,51.5182315727857,3.48,4.656,,,,,7.2,,,,,2.016,,
83,ArcelorMittal Eisenhüttenstadt GmbH,2410: Manufacture of basic iron and steel and of ferro-alloys,B_Industry,12-30670480000,,14.6176822369296,52.1661405222489,9.38,7.069999999999999,,,,2.989,261.8,48.860000000000014,0.1603,0.37379999999999997,7.420000000000002,,,
84,ArcelorMittal Hamburg GmbH,2410: Manufacture of basic iron and steel and of ferro-alloys,B_Industry,06-02-B2C001A009,,9.8983966823358,53.5229548736256,,,,,,,,0.54,0.0264,0.0246,,,,
85,ArcelorMittal Hochfeld GmbH Werk Ruhrort,2410: Manufacture of basic iron and steel and of ferro-alloys,B_Industry,06-05-100-9973329,,6.74917290245173,51.4608318042529,0.214,,,,,0.1022,,2.16,,,0.314,,,
86,Ardagh Glass GmbH,2313: Manufacture of hollow glass,B_Industry,12-30642590000,,13.713597390403,52.5368640783818,0.113,,,,,,,,,,,,,
87,Ardagh Glass GmbH,2313: Manufacture of hollow glass,B_Industry,12-40710460000,,14.2294000941078,51.6494105835544,0.104,,,,,,,,,,,,,
88,Ardagh Glass GmbH,2313: Manufacture of hollow glass,B_Industry,03-06-06254419490,,9.2147085920828,52.6603051817251,0.439,,,,,,,,,,,,,
89,Ardagh Glass GmbH,2313: Manufacture of hollow glass,B_Industry,03-07-07236240800,,9.14072748387425,52.2643773078889,0.118,,,,,,,,,,,,,
90,Ardagh Glass GmbH,2313: Manufacture of hollow glass,B_Industry,06-05-900-0854833,,7.51406274405867,51.6254161090618,0.127,,,,,,,,,,,,,
91,Ardagh Glass GmbH,"2319: Manufacture and processing of other glass, including technical glassware",B_Industry,07-05-8173869,,8.37490697864555,49.2331095283481,0.469,0.229,,,,,,,,,,,,
92,Ardagh Glass GmbH,2313: Manufacture of hollow glass,B_Industry,01-30-60092340337,,10.1942520893852,53.9461160904184,0.141,,,,,,,,,,,,,
93,Ardagh Metal Beverage Germany GmbH,2592: Manufacture of light metal packaging,E_Solvents,07-01-496531,,7.45044393216315,50.4196463787474,,,0.132,,,,,,,,,,,
94,Arendsee Agrar GmbH & Co. KG,146: Raising of swine/pigs,,12-20731040000,,13.6018735194855,53.3346692693223,,,,0.0218,,,,,,,,,,
95,"Arenhövel, Heinrich",146: Raising of swine/pigs,L_AgriOther,06-05-570-0303698,,8.04370147712851,51.9717498109342,,,,0.0102,,,,,,,,,,
96,Arnold Husemann - Breitenbach,147: Raising of poultry,,12473,,11.1180379564373,51.5386149252719,,,,0.0231,,,,,,,,,,
97,Asbreuk GmbH,146: Raising of swine/pigs,,06-05-554-0131797,,6.92045597345922,52.1721026749391,,,,0.0153,,,,,,,,,,
98,Aurubis AG,2444: Copper production,B_Industry,06-02-B2C100A009,,10.0349698471196,53.5179853319104,1.065,9.15,,,,,6.45,8.2,0.31,0.095,1.035,,,
99,Aurubis AG,2444: Copper production,B_Industry,06-05-900-0877505,,7.50803445438935,51.6065908206216,0.52,1.526,,,,,,2.76,0.04,0.09,,,,
100,Austing gr. Franz,146: Raising of swine/pigs,,03-92-46000020559,,8.25944888035048,52.5311358474553,,,,0.0127,,,,,,,,,,
101,"Austing, gr. Josef",146: Raising of swine/pigs,,03-92-46000205650,,8.25979086562859,52.533592348695,,,,0.0156,,,,,,,,,,
102,"Austing, gr. Werner",146: Raising of swine/pigs,,03-92-46000205720,,8.24033880565884,52.5185810772594,,,,0.0124,,,,,,,,,,
103,Averkamp KG,146: Raising of swine/pigs,,12-30641037000,,14.3668100595594,52.6031323025338,,,,0.0144,,,,,,,,,,
104,Avimex Sachsen GmbH Großelterntierhaltung Radefeld 2,147: Raising of poultry,,14-82-54285700000,,12.3046399223905,51.4335341001697,,,,0.0182,,,,,,,,,,
105,B+S Papenburg Energie GmbH,3511: Production of electricity,J_Waste,03-04-04041505980,,7.39776960254192,53.0995110270963,,,,,,,,,,,,,,
106,B+T Energie GmbH EBS-Kraftwerk Witzenhausen,3821: Treatment and disposal of non-hazardous waste,J_Waste,06-84800460636,,9.84919743169047,51.3180987716012,,,,,,,,,,,,,,
107,B.E.S. Brandenburger Elektrostahlwerke GmbH B.E.S. Brandenburger Elektrostahlwerke GmbH,2410: Manufacture of basic iron and steel and of ferro-alloys,B_Industry,12-60510400000,,12.4988856602742,52.4019501911493,1.197,0.759,,,,,,,,,1.4789999999999999,,,
108,BASF Agricultural Solutions GmbH,2020: Manufacture of pesticides and other agrochemical products,B_Industry,06-05-300-0012607,,6.86562795155585,50.8616368444693,,,,,,,,,,,,,,
109,BASF Lampertheim GmbH,2014: Manufacture of other organic basic chemicals,B_Industry,06-00000560431,,8.44012851164917,49.6183317606243,,,,,,,,,,,,,,
110,BASF Personal Care and Nutrition GmbH,2014: Manufacture of other organic basic chemicals,B_Industry,06-05-100-9350370,,6.83938548793689,51.1755500933699,1.02,,,,,,,,,,,,,
111,BASF SE,2014: Manufacture of other organic basic chemicals,B_Industry,06-08-2921707,,8.44600685669085,49.5247152974354,,,,,,,,,,,,,,
112,BASF SE,2014: Manufacture of other organic basic chemicals,B_Industry,07-05-8290552,,8.42344564701332,49.5173911862856,91.74000000000002,9.35,11.725999999999999,6.6659999999999995,,2.151599999999999,18.14999999999999,,,1.1220000000000003,,,,
113,BASF Schwarzheide GmbH,2016: Manufacture of plastics in primary forms,B_Industry,12-40669070000,,13.8869788480767,51.4803390727399,3.6960000000000006,,,,,,,,,,,,,
114,BAYERNOIL Betriebsteil Neustadt,1920: Manufacture of refined petroleum products,B_Industry,06-09-273-0310-0001,,11.757976611622,48.784993229719,1.13,3.62,0.328,,,,,,,,,,,
115,BAYERNOIL Betriebsteil Vohburg,1920: Manufacture of refined petroleum products,B_Industry,06-09-186-0202-0001,,11.5988557118451,48.765795692349,0.634,3.16,0.508,,,,,,,,,,,
116,"BGA Traunecker, E. u. W. GbR.",146: Raising of swine/pigs,L_AgriOther,06-08-8926182,,9.54580418000761,47.781630043118,,,,0.0505,,,,,,,,,,
117,BJB Evers GbR Bernhard u. Jan-Bernd Evers,146: Raising of swine/pigs,,03-92-46000015060,,8.20965238931048,52.7245620957946,,,,0.0149,,,,,,,,,,
118,BKF - Biomasse-Kraftwerk Fechenheim GmbH,3822: Treatment and disposal of hazardous waste,J_Waste,06-00974010412,,8.76211082876905,50.129424835628,0.113,,,,,,,,,,,,,
119,BLF Schweineaufzucht GmbH,146: Raising of swine/pigs,,13-30-1070117,,11.9072560477527,53.9046096029863,,,,0.0102,,,,,,,,,,
120,BMHKW Malchin,3821: Treatment and disposal of non-hazardous waste,J_Waste,13-50-1044,,12.7823306915412,53.7418929511967,0.103,,,,,,,,,,,,,
121,"BMW Group Werk 02.40, Dingolfing",2910: Manufacture of motor vehicles,E_Solvents,06-09-279-0013-0001,,12.4711181306796,48.6466739145721,0.357,,1.071,,,,,,,,,,,
122,BMW Werk 6.1 Regensburg,2910: Manufacture of motor vehicles,E_Solvents,06-09-362-0100-0001,,12.1662131207489,48.9763065374086,0.222,,0.57,,,,,,,,,,,
123,BP Europa SE BP Lingen,1920: Manufacture of refined petroleum products,B_Industry,03-10-10257401440,,7.31181464088802,52.5618542808937,4.6850000000000005,4.66,2.0,,,,,,,,,,,
124,BREDO Dockgesellschaft mbH,3315: Repair and maintenance of ships and boats,E_Solvents,03-03-03267676490,,8.71311473307838,53.8627007153186,,,,,,,,,,,,,,
125,BSR / Deponie Schöneicher Plan,3821: Treatment and disposal of non-hazardous waste,5.d,12-50725490000,,13.5282890495893,52.2394725020648,,,,,,,,,,,,,,
126,BSR / MHKW,3811: Collection of non-hazardous waste,J_Waste,06-11-01-1102201,,13.2379154933709,52.5290382462859,0.374,,,,,,,,,,,,,
127,BUDISSA Agrar GmbH Kubschütz,146: Raising of swine/pigs,,14-74-45518790001,,14.5669263440403,51.16291454595,,,,0.0102,,,,,,,,,,
128,BWE - Brüterei Weser Ems GmbH & Co. KG,147: Raising of poultry,,06-05-754-0119851,,8.29089528552977,52.0010376078298,,,,0.0121,,,,,,,,,,
129,BWE Brüterei Weser-Ems GmbH & Co. KG Farm Ehrenburg,147: Raising of poultry,,03-65-25104671112,,8.66986897895922,52.7381263949798,,,,0.0396,,,,,,,,,,
130,BWE Brüterei Weser-Ems GmbH & Co.KG Farm Holte,147: Raising of poultry,,03-92-46000103320,,8.36869830201116,52.8462588017465,,,,0.0346,,,,,,,,,,
131,BWE-Brüterei Weser-Ems GmbH & Co. KG Farm Eschenhausen,147: Raising of poultry,,03-65-25100765440,,8.78058144610856,52.8477433429327,,,,0.0388,,,,,,,,,,
132,BWE-Brüterei Weser-Ems GmbH & Co. KG Farm Martfeld,147: Raising of poultry,,03-65-25102670860,,9.04102849330914,52.8810298433361,,,,0.0348,,,,,,,,,,
133,BWE-Brüterei Weser-Ems GmbH & Co. KG Farm Rehden,147: Raising of poultry,,03-65-25103071420,,8.5222914865442,52.6157373260733,,,,0.0378,,,,,,,,,,
134,BWE-Brüterei Weser-Ems GmbH & Co. KG Farm Wetschen,147: Raising of poultry,,03-65-25104678220,,8.45627247676436,52.622590864201,,,,0.0361,,,,,,,,,,
135,BWE-Brüterei Weser-Ems GmbH & Co.KG Hogenbögen,147: Raising of poultry,,03-92-46000102276,,8.35191182653763,52.8378078223369,,,,0.0174,,,,,,,,,,
136,Badische Stahlwerke GmbH,2410: Manufacture of basic iron and steel and of ferro-alloys,B_Industry,06-08-3828859,,7.82214541961069,48.599569851898,0.208,,,,,,8.0,,,0.288,0.934,,,3.62
137,Ballenstedt AGAR KG,146: Raising of swine/pigs,,12899,,11.2413880855731,51.7426867908258,,,,0.0139,,,,,,,,,,
138,Basell Polyolefine GmbH,2016: Manufacture of plastics in primary forms,B_Industry,06-09-186-0211-0001,,11.7086264329288,48.758551728254,1.32,0.492,0.315,,,,,,,,,,,
139,Basell Polyolefine GmbH Werk Wesseling,2016: Manufacture of plastics in primary forms,B_Industry,06-05-300-0215520,,6.94406667956143,50.83268204406,5.273999999999999,,2.0580000000000003,0.0714,,,,,,,,,,
140,Bauherrengemeinschaft Stresow GbR,146: Raising of swine/pigs,L_AgriOther,18008,,12.0359281611024,52.2617692165295,,,,0.0496,,,,,,,,,,
141,Bayer AG,2110: Manufacture of basic pharmaceutical products,B_Industry,06-05-900-0058251,,7.63347552354609,51.626660007319,,,,,,,,,,,,,,
142,"Bayer AG, Crop Science Division",2020: Manufacture of pesticides and other agrochemical products,B_Industry,06-05-300-4044362,,6.86550715329469,50.8599257783314,,,,,,,,,,,,,,
143,Bayerische Motoren Werke Aktiengesellschaft Werk Leipzig,2910: Manufacture of motor vehicles,E_Solvents,14-80-56176820000,,12.4440057042028,51.4068430032892,,,0.5189999999999999,,,,,,,,,,,
144,Befesa Salzschlacke GmbH,3822: Treatment and disposal of hazardous waste,J_Waste,03-06-06060517550,,9.71752112018994,52.4178007021282,,,,0.055,,,,,,,,,,
145,Befesa Salzschlacke GmbH,3822: Treatment and disposal of hazardous waste,J_Waste,06-05-900-0349236,,7.46863379762951,51.6191671584061,,,,,,,,,,,,,,
146,"Behrens, Heinz",147: Raising of poultry,,03-85-45300826730,,8.06327581627625,52.9649763318212,,,,0.0364,,,,,,,,,,
147,"Behrens, Wolfgang",147: Raising of poultry,,03-85-45300511110,,8.11994060797261,52.8235400943864,,,,0.0372,,,,,,,,,,
148,Beketaler Schweinemast GmbH & Co. KG,146: Raising of swine/pigs,,13-30-826,,11.8371189840412,53.9029696614224,,,,0.0111,,,,,,,,,,
149,Belmont Farms GmbH,146: Raising of swine/pigs,,12-30640600000,,14.1465946636885,52.5214664783767,,,,0.0309,,,,,,,,,,
150,Benteler Steel/Tube GmbH,2410: Manufacture of basic iron and steel and of ferro-alloys,B_Industry,03-10-10257605710,,7.31699746042423,52.4676466402918,,,,,,,,,,0.020399999999999998,,,,
151,Bernhard Wiest,146: Raising of swine/pigs,,06-08-50930386,,9.95730500508395,48.1558082618276,,,,0.021,,,,,,,,,,
152,Berzelius Stolberg GmbH,"2443: Lead, zinc and tin production",B_Industry,06-05-300-0875270,,6.24087279396776,50.755173490409,,0.828,,,,,,,,,,,,
153,"Betreibergemeinschaft ""DANISAL""",146: Raising of swine/pigs,,16147,,11.9232676641314,51.2717073603841,,,,0.17,,,,,,,,,,
154,Betriebsgemeinschaft Franz Kratzer & Martin Rauch,146: Raising of swine/pigs,,06-09-772-1099-0001,,10.7862648521067,48.574725118584,,,,0.0104,,,,,,,,,,
155,"Beuckmann, Hildegard",146: Raising of swine/pigs,,06-05-558-0064291,,7.6739236236987,51.792135339374,,,,0.0125,,,,,,,,,,
156,Biomasse Heizkraftwerk Siegerland GmbH & Co. KG,3511: Production of electricity,J_Waste,07-01-690093,,8.0731821024339,50.7024165783518,0.128,,,,,,,,,,,,,
157,Biomasseheizkraftwerk Zolling GmbH,3511: Production of electricity,A_PublicPower,06-09-100-8015-0001,,11.7999254503205,48.4561909578859,,,,,,,,,,,,,,
158,Biomassekraftwerk Bischofferode/Holungen,3511: Production of electricity,A_PublicPower,16-77-11033000000,,10.4129671721628,51.4900753707236,0.108,,,,,,,,,,,,,
159,Biomassekraftwerk Lünen GmbH,3511: Production of electricity,J_Waste,06-05-900-9139128,,7.46910405320136,51.6219339204941,0.138,,,,,,,,,,,,,
